date,close
2024-01-01,99.72
2024-01-02,99.5305
2024-01-03,99.431
2024-01-04,99.4211
2024-01-05,99.5006
2024-01-06,99.6697
2024-01-07,99.9289
2024-01-08,100.2786
2024-01-09,100.7199
2024-01-10,100.3472
2024-01-11,100.0662
2024-01-12,99.8761
2024-01-13,99.7762
2024-01-14,99.7662
2024-01-15,99.8461
2024-01-16,100.0158
2024-01-17,100.2758
2024-01-18,100.6268
2024-01-19,101.0696
2024-01-20,100.6956
2024-01-21,100.4137
2024-01-22,100.2229
2024-01-23,100.1227
2024-01-24,100.1126
2024-01-25,100.1927
2024-01-26,100.3631
2024-01-27,100.624
2024-01-28,100.9762
2024-01-29,101.4205
2024-01-30,101.0452
2024-01-01,100.7623
2024-01-02,100.5708
2024-01-03,100.4703
2024-01-04,100.4602
2024-01-05,100.5406
2024-01-06,100.7115
2024-01-07,100.9734
2024-01-08,101.3268
2024-01-09,101.7726
2024-01-10,101.3961
2024-01-11,101.1121
2024-01-12,100.92
2024-01-13,100.8191
2024-01-14,100.809
2024-01-15,100.8897
2024-01-16,101.0612
2024-01-17,101.3239
2024-01-18,101.6786
2024-01-19,102.126
2024-01-20,101.7481
2024-01-21,101.4632
2024-01-22,101.2704
2024-01-23,101.1692
2024-01-24,101.159
2024-01-25,101.24
2024-01-26,101.4121
2024-01-27,101.6757
2024-01-28,102.0316
2024-01-29,102.4806
2024-01-30,102.1014
2024-01-01,101.8155
2024-01-02,101.622
2024-01-03,101.5204
2024-01-04,101.5103
2024-01-05,101.5915
2024-01-06,101.7642
2024-01-07,102.0288
2024-01-08,102.3859
2024-01-09,102.8364
2024-01-10,102.4559
2024-01-11,102.169
2024-01-12,101.9749
2024-01-13,101.8729
2024-01-14,101.8627
2024-01-15,101.9442
2024-01-16,102.1175
2024-01-17,102.383
2024-01-18,102.7414
2024-01-19,103.1934
2024-01-20,102.8116
2024-01-21,102.5237
2024-01-22,102.3289
2024-01-23,102.2266
2024-01-24,102.2164
2024-01-25,102.2982
2024-01-26,102.4721
2024-01-27,102.7385
2024-01-28,103.0981
2024-01-29,103.5517
2024-01-30,103.1686
2024-01-01,102.8797
2024-01-02,102.6842
2024-01-03,102.5815
2024-01-04,102.5713
2024-01-05,102.6533
2024-01-06,102.8278
2024-01-07,103.0952
2024-01-08,103.456
2024-01-09,103.9112
2024-01-10,103.5268
2024-01-11,103.2369
2024-01-12,103.0407
2024-01-13,102.9377
2024-01-14,102.9274
2024-01-15,103.0097
2024-01-16,103.1849
2024-01-17,103.4531
2024-01-18,103.8152
2024-01-19,104.272
2024-01-20,103.8862
2024-01-21,103.5953
2024-01-22,103.3985
2024-01-23,103.2951
2024-01-24,103.2848
2024-01-25,103.3674
2024-01-26,103.5431
2024-01-27,103.8123
2024-01-28,104.1757
2024-01-29,104.6341
2024-01-30,104.2469
