datetime,open,high,low,close,volume
2024-01-02T13:30:00+00:00,16499.59,16500.48,16499.44,16499.63,329
2024-01-02T13:31:00+00:00,16497.34,16498.17,16496.94,16497.1,308
2024-01-02T13:32:00+00:00,16494.12,16496.25,16492.98,16494.43,192
2024-01-02T13:33:00+00:00,16495.75,16496.38,16493.9,16495.64,224
2024-01-02T13:34:00+00:00,16495.95,16496.51,16494.68,16495.5,226
2024-01-02T13:35:00+00:00,16495.76,16496.19,16494.28,16496.0,243
2024-01-02T13:36:00+00:00,16498.51,16500.32,16496.72,16497.23,85
2024-01-02T13:37:00+00:00,16499.71,16499.83,16498.9,16499.37,169
2024-01-02T13:38:00+00:00,16500.03,16500.69,16498.68,16499.27,393
2024-01-02T13:39:00+00:00,16501.96,16504.76,16500.64,16503.77,137
2024-01-02T13:40:00+00:00,16500.56,16500.78,16498.5,16500.13,162
2024-01-02T13:41:00+00:00,16498.76,16498.9,16497.2,16498.06,66
2024-01-02T13:42:00+00:00,16499.31,16502.47,16497.57,16501.4,158
2024-01-02T13:43:00+00:00,16498.28,16499.43,16497.41,16498.09,185
2024-01-02T13:44:00+00:00,16501.68,16502.16,16498.23,16499.66,235
2024-01-02T13:45:00+00:00,16502.41,16504.84,16502.37,16504.32,74
2024-01-02T13:46:00+00:00,16502.37,16504.78,16501.4,16503.25,355
2024-01-02T13:47:00+00:00,16502.42,16504.76,16501.11,16501.54,55
2024-01-02T13:48:00+00:00,16500.83,16503.34,16500.7,16502.01,200
2024-01-02T13:49:00+00:00,16498.62,16501.98,16497.92,16499.64,184
2024-01-02T13:50:00+00:00,16502.46,16502.48,16500.71,16502.33,309
2024-01-02T13:51:00+00:00,16499.63,16499.81,16498.14,16499.69,448
2024-01-02T13:52:00+00:00,16503.17,16504.05,16502.3,16503.24,475
2024-01-02T13:53:00+00:00,16505.31,16505.4,16503.09,16504.64,90
2024-01-02T13:54:00+00:00,16507.52,16509.04,16507.46,16508.18,293
2024-01-02T13:55:00+00:00,16506.46,16508.08,16505.65,16505.93,158
2024-01-02T13:56:00+00:00,16508.59,16510.45,16507.14,16508.69,241
2024-01-02T13:57:00+00:00,16510.08,16511.8,16509.49,16511.18,223
2024-01-02T13:58:00+00:00,16513.5,16513.58,16513.2,16513.31,84
2024-01-02T13:59:00+00:00,16513.86,16514.66,16511.55,16511.93,392
2024-01-02T14:00:00+00:00,16510.31,16512.76,16509.19,16509.99,292
2024-01-02T14:01:00+00:00,16509.7,16510.75,16508.39,16509.12,266
2024-01-02T14:02:00+00:00,16506.9,16507.7,16506.64,16507.12,422
2024-01-02T14:03:00+00:00,16504.85,16506.78,16504.07,16506.77,279
2024-01-02T14:04:00+00:00,16506.75,16507.32,16503.08,16505.02,488
2024-01-02T14:05:00+00:00,16507.85,16510.27,16507.84,16507.99,97
2024-01-02T14:06:00+00:00,16510.93,16513.14,16510.66,16511.95,80
2024-01-02T14:07:00+00:00,16513.54,16515.67,16511.79,16513.55,451
2024-01-02T14:08:00+00:00,16511.7,16514.76,16509.91,16513.71,129
2024-01-02T14:09:00+00:00,16510.59,16512.69,16509.88,16510.86,81
2024-01-02T14:10:00+00:00,16510.16,16510.87,16509.26,16509.68,310
2024-01-02T14:11:00+00:00,16509.85,16511.34,16508.67,16509.68,170
2024-01-02T14:12:00+00:00,16506.49,16507.16,16504.23,16504.71,386
2024-01-02T14:13:00+00:00,16505.01,16506.06,16504.68,16505.32,416
2024-01-02T14:14:00+00:00,16505.63,16507.08,16502.97,16505.81,87
2024-01-02T14:15:00+00:00,16507.32,16507.83,16506.19,16506.41,325
2024-01-02T14:16:00+00:00,16507.24,16509.04,16506.41,16508.03,130
2024-01-02T14:17:00+00:00,16504.58,16506.84,16501.32,16505.72,463
2024-01-02T14:18:00+00:00,16505.17,16506.41,16503.7,16505.49,118
2024-01-02T14:19:00+00:00,16501.07,16502.7,16500.37,16502.66,194
2024-01-02T14:20:00+00:00,16498.0,16500.6,16497.88,16498.97,483
2024-01-02T14:21:00+00:00,16501.93,16502.11,16500.99,16501.3,220
2024-01-02T14:22:00+00:00,16500.38,16503.25,16499.18,16501.28,54
2024-01-02T14:23:00+00:00,16501.98,16502.23,16501.15,16501.78,68
2024-01-02T14:24:00+00:00,16501.24,16502.75,16500.32,16502.25,457
2024-01-02T14:25:00+00:00,16506.23,16507.37,16504.58,16506.0,391
2024-01-02T14:26:00+00:00,16509.55,16510.36,16508.84,16509.35,171
2024-01-02T14:27:00+00:00,16509.28,16510.2,16504.28,16506.58,62
2024-01-02T14:28:00+00:00,16511.4,16512.62,16509.17,16510.11,177
2024-01-02T14:29:00+00:00,16506.98,16510.23,16505.45,16508.34,489
2024-01-02T14:30:00+00:00,16505.89,16506.91,16504.84,16506.37,164
2024-01-02T14:31:00+00:00,16502.6,16503.73,16500.1,16502.21,445
2024-01-02T14:32:00+00:00,16502.61,16504.6,16497.26,16500.03,109
2024-01-02T14:33:00+00:00,16500.94,16503.95,16498.5,16500.17,69
2024-01-02T14:34:00+00:00,16502.68,16503.71,16501.0,16502.13,247
2024-01-02T14:35:00+00:00,16501.1,16502.33,16500.11,16500.46,316
2024-01-02T14:36:00+00:00,16502.56,16504.67,16502.01,16502.73,85
2024-01-02T14:37:00+00:00,16502.77,16504.04,16499.54,16500.78,113
2024-01-02T14:38:00+00:00,16500.38,16501.84,16499.56,16500.7,115
2024-01-02T14:39:00+00:00,16502.29,16504.33,16500.92,16502.89,139
2024-01-02T14:40:00+00:00,16500.26,16500.65,16499.97,16500.64,346
2024-01-02T14:41:00+00:00,16502.24,16504.02,16501.59,16502.34,311
2024-01-02T14:42:00+00:00,16498.73,16499.43,16497.36,16498.6,374
2024-01-02T14:43:00+00:00,16499.47,16500.33,16499.21,16499.49,208
2024-01-02T14:44:00+00:00,16500.37,16500.57,16498.07,16500.43,87
2024-01-02T14:45:00+00:00,16499.12,16502.62,16498.24,16500.92,246
2024-01-02T14:46:00+00:00,16499.04,16499.15,16498.97,16498.98,104
2024-01-02T14:47:00+00:00,16495.68,16496.3,16493.36,16495.11,287
2024-01-02T14:48:00+00:00,16497.2,16498.56,16496.63,16497.48,336
2024-01-02T14:49:00+00:00,16492.8,16494.53,16491.76,16493.25,418
2024-01-02T14:50:00+00:00,16495.4,16497.22,16494.11,16496.5,280
2024-01-02T14:51:00+00:00,16499.18,16501.06,16497.62,16499.73,316
2024-01-02T14:52:00+00:00,16497.79,16498.49,16496.6,16496.71,326
2024-01-02T14:53:00+00:00,16499.89,16500.4,16499.27,16499.73,159
2024-01-02T14:54:00+00:00,16501.7,16502.03,16500.38,16500.72,444
2024-01-02T14:55:00+00:00,16502.5,16504.16,16500.9,16502.89,244
2024-01-02T14:56:00+00:00,16498.94,16500.08,16496.72,16498.49,325
2024-01-02T14:57:00+00:00,16496.29,16496.97,16494.91,16495.42,162
2024-01-02T14:58:00+00:00,16496.77,16497.92,16494.6,16495.18,480
2024-01-02T14:59:00+00:00,16492.55,16493.19,16492.36,16492.98,251
2024-01-02T15:00:00+00:00,16489.87,16491.72,16489.36,16491.08,183
2024-01-02T15:01:00+00:00,16489.15,16490.77,16487.35,16489.83,244
2024-01-02T15:02:00+00:00,16490.32,16491.4,16485.5,16487.46,76
2024-01-02T15:03:00+00:00,16489.9,16491.12,16487.55,16489.25,383
2024-01-02T15:04:00+00:00,16489.78,16492.07,16489.11,16489.76,292
2024-01-02T15:05:00+00:00,16488.28,16488.65,16486.1,16487.92,442
2024-01-02T15:06:00+00:00,16487.56,16488.38,16487.43,16487.94,209
2024-01-02T15:07:00+00:00,16485.8,16486.49,16484.11,16485.78,242
